street_address,street_number,street_name,suburb,postcode,full_address,council,latitude,longitude,socio_economic_status,remoteness_level,validation_source
36 Glen Osmond Road,36,Glen Osmond Road,ADELAIDE,5000,"36 Glen Osmond Road, Parkside South Australia 5063, Australia",CITY OF ADELAIDE,-34.941882,138.617472,4,Major Cities of Australia,mapbox_api
426 Flinders Street,426,Flinders Street,ADELAIDE,5000,"426 Flinders Street, Kent Town South Australia 5067, Australia",CITY OF ADELAIDE,-34.921978,138.622809,4,Major Cities of Australia,mapbox_api
399 Victoria Street,399,Victoria Street,ADELAIDE,5000,"399 Victoria Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922762,138.596083,4,Major Cities of Australia,mapbox_api
373 Flinders Street,373,Flinders Street,ADELAIDE,5000,"373 Flinders Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92664,138.610278,4,Major Cities of Australia,mapbox_api
21 Pirie Street,21,Pirie Street,ADELAIDE,5000,"21 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926102,138.600817,4,Major Cities of Australia,mapbox_api
157 Pirie Street,157,Pirie Street,ADELAIDE,5000,"157 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925625,138.602473,4,Major Cities of Australia,mapbox_api
414 Flinders Street,414,Flinders Street,ADELAIDE,5000,"414 Flinders Street, Kent Town South Australia 5067, Australia",CITY OF ADELAIDE,-34.921983,138.622801,4,Major Cities of Australia,mapbox_api
252 Magill Road,252,Magill Road,ADELAIDE,5000,"252 Magill Road, Beulah Park South Australia 5067, Australia",CITY OF ADELAIDE,-34.914951,138.643544,4,Major Cities of Australia,mapbox_api
458 Magill Road,458,Magill Road,ADELAIDE,5000,"458 Magill Road, Kensington Gardens South Australia 5068, Australia",CITY OF ADELAIDE,-34.913912,138.664243,4,Major Cities of Australia,mapbox_api
63 Goodwood Road,63,Goodwood Road,ADELAIDE,5000,"63 Goodwood Road, Wayville South Australia 5034, Australia",CITY OF ADELAIDE,-34.947574,138.589813,4,Major Cities of Australia,mapbox_api
105 Gawler Place,105,Gawler Place,ADELAIDE,5000,"105 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925583,138.602056,4,Major Cities of Australia,mapbox_api
994 Victoria Street,994,Victoria Street,VICTOR HARBOR,5211,"994 Victoria Street, Victor Harbor South Australia 5211, Australia",CITY OF VICTOR HARBOR,-35.55839,138.613469,3,Inner Regional Australia,mapbox_api
980 Franklin Street,980,Franklin Street,ADELAIDE,5000,"980 Franklin Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.927663,138.589728,4,Major Cities of Australia,mapbox_api
642 Glen Osmond Road,642,Glen Osmond Road,ADELAIDE,5000,"642 Glen Osmond Road, Parkside South Australia 5063, Australia",CITY OF ADELAIDE,-34.945927,138.624413,4,Major Cities of Australia,mapbox_api
234 Angas Street,234,Angas Street,ADELAIDE,5000,"234 Angas Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.929738,138.607674,4,Major Cities of Australia,mapbox_api
627 King Street,627,King Street,ADELAIDE,5000,"627 King Street, Norwood South Australia 5067, Australia",CITY OF ADELAIDE,-34.91747,138.627039,4,Major Cities of Australia,mapbox_api
331 Grenfell Street,331,Grenfell Street,ADELAIDE,5000,"331 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923979,138.608689,4,Major Cities of Australia,mapbox_api
708 Grand Junction Road,708,Grand Junction Road,ADELAIDE,5000,"708 Grand Junction Road, Pennington South Australia 5013, Australia",CITY OF ADELAIDE,-34.851247,138.533711,4,Major Cities of Australia,mapbox_api
684 Carrington Street,684,Carrington Street,ADELAIDE,5000,"684 Carrington Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.931301,138.604393,4,Major Cities of Australia,mapbox_api
485 Rundle Street,485,Rundle Street,ADELAIDE,5000,"485 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922494,138.609331,4,Major Cities of Australia,mapbox_api
936 Marion Road,936,Marion Road,ADELAIDE,5000,"936 Marion Road, Sturt South Australia 5047, Australia",CITY OF ADELAIDE,-35.022954,138.558781,4,Major Cities of Australia,mapbox_api
601 Uley Road,601,Unley Road,ADELAIDE,5000,"601 Uley Road, Craigmore South Australia 5114, Australia",CITY OF ADELAIDE,-34.698593,138.713666,4,Major Cities of Australia,mapbox_api
891 Wellington Square,891,Wellington Square,ADELAIDE,5000,"891 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.907063,138.590625,4,Major Cities of Australia,mapbox_api
550 Cross Road,550,Cross Road,ADELAIDE,5000,"550 Cross Road, South Plympton South Australia 5038, Australia",CITY OF ADELAIDE,-34.96742,138.562668,4,Major Cities of Australia,mapbox_api
Palmer Place,619,Palmer Place,ADELAIDE,5000,"Palmer Place, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.910956,138.595093,4,Major Cities of Australia,mapbox_api
Whitmore Square,297,Whitmore Square,ADELAIDE,5000,"Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932853,138.593504,4,Major Cities of Australia,mapbox_api
8 Brighton Road,8,Brighton Road,ADELAIDE,5000,"8 Brighton Road, Glenelg East South Australia 5045, Australia",CITY OF ADELAIDE,-34.977087,138.520397,4,Major Cities of Australia,mapbox_api
961 Hindley Street,961,Hindley Street,ADELAIDE,5000,"961 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923481,138.589632,4,Major Cities of Australia,mapbox_api
867 Port Road,867,Port Road,ADELAIDE,5000,"867 Port Road, Hindmarsh South Australia 5007, Australia",CITY OF ADELAIDE,-34.908465,138.576485,4,Major Cities of Australia,mapbox_api
751 Lower North East Road,751,Lower North East Road,ADELAIDE,5000,"751 Lower North East Road, Paradise South Australia 5075, Australia",CITY OF ADELAIDE,-34.865938,138.674656,4,Major Cities of Australia,mapbox_api
773 Gawler Place,773,Gawler Place,ADELAIDE,5000,"773 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925169,138.602027,4,Major Cities of Australia,mapbox_api
323 Waymouth Street,323,Waymouth Street,ADELAIDE,5000,"323 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926308,138.589086,4,Major Cities of Australia,mapbox_api
105 Halifax Street,105,Halifax Street,ADELAIDE,5000,"105 Halifax Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.933137,138.604255,4,Major Cities of Australia,mapbox_api
289 Wellington Square,289,Wellington Square,ADELAIDE,5000,"289 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.907141,138.590655,4,Major Cities of Australia,mapbox_api
Hurtle Square,564,Hurtle Square,ADELAIDE,5000,"Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932292,138.605527,4,Major Cities of Australia,mapbox_api
411 Magill Road,411,Magill Road,ADELAIDE,5000,"411 Magill Road, St Morris South Australia 5068, Australia",CITY OF ADELAIDE,-34.913774,138.653656,4,Major Cities of Australia,mapbox_api
335 Gawler Place,335,Gawler Place,ADELAIDE,5000,"335 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925174,138.602027,4,Major Cities of Australia,mapbox_api
Whitmore Square,353,Whitmore Square,ADELAIDE,5000,"Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932853,138.593504,4,Major Cities of Australia,mapbox_api
412 Henley Beach Road,412,Henley Beach Road,ADELAIDE,5000,"412 Henley Beach Road, Torrensville South Australia 5031, Australia",CITY OF ADELAIDE,-34.923686,138.569611,4,Major Cities of Australia,mapbox_api
578 Pulteney Street,578,Pulteney Street,ADELAIDE,5000,"578 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.935373,138.606516,4,Major Cities of Australia,mapbox_api
497 Marion Road,497,Marion Road,ADELAIDE,5000,"497 Marion Road, South Plympton South Australia 5038, Australia",CITY OF ADELAIDE,-34.973042,138.55569,4,Major Cities of Australia,mapbox_api
359 Brighton Road,359,Brighton Road,ADELAIDE,5000,"359 Brighton Road, Somerton Park South Australia 5044, Australia",CITY OF ADELAIDE,-35.001587,138.521718,4,Major Cities of Australia,mapbox_api
503 Carrington Street,503,Carrington Street,ADELAIDE,5000,"503 Carrington Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.930804,138.614228,4,Major Cities of Australia,mapbox_api
337 Pulteney Street,337,Pulteney Street,ADELAIDE,5000,"337 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922067,138.605533,4,Major Cities of Australia,mapbox_api
973 Brighton Road,973,Brighton Road,ADELAIDE,5000,"973 Brighton Road, Somerton Park South Australia 5044, Australia",CITY OF ADELAIDE,-35.001595,138.521719,4,Major Cities of Australia,mapbox_api
959 Hindley Street,959,Hindley Street,ADELAIDE,5000,"959 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923481,138.589632,4,Major Cities of Australia,mapbox_api
454 Elizabeth Street,454,Elizabeth Street,MURRAY BRIDGE,5253,"454 Elizabeth Street, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.118204,139.26327,2,Inner Regional Australia,mapbox_api
222 Marion Road,222,Marion Road,ADELAIDE,5000,"222 Marion Road, Plympton South Australia 5038, Australia",CITY OF ADELAIDE,-34.960074,138.554447,4,Major Cities of Australia,mapbox_api
213 Wellington Square,213,Wellington Square,ADELAIDE,5000,"213 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.907151,138.590659,4,Major Cities of Australia,mapbox_api
560 Magill Road,560,Magill Road,ADELAIDE,5000,"560 Magill Road, Magill South Australia 5072, Australia",CITY OF ADELAIDE,-34.913339,138.675302,4,Major Cities of Australia,mapbox_api
106 Rundle Street,106,Rundle Street,ADELAIDE,5000,"106 Rundle Street, Kent Town South Australia 5067, Australia",CITY OF ADELAIDE,-34.918984,138.622064,4,Major Cities of Australia,mapbox_api
464 Magill Road,464,Magill Road,ADELAIDE,5000,"464 Magill Road, Kensington Gardens South Australia 5068, Australia",CITY OF ADELAIDE,-34.913883,138.66484,4,Major Cities of Australia,mapbox_api
294 Grenfell Street,294,Grenfell Street,ADELAIDE,5000,"294 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923849,138.60941,4,Major Cities of Australia,mapbox_api
35 High Street,35,High Street,VICTOR HARBOR,5211,"35 High Street, Victor Harbor South Australia 5211, Australia",CITY OF VICTOR HARBOR,-35.546399,138.62385,3,Inner Regional Australia,mapbox_api
276 Angas Street,276,Angas Street,ADELAIDE,5000,"276 Angas Street, Alberton South Australia 5014, Australia",CITY OF ADELAIDE,-34.858232,138.515592,4,Major Cities of Australia,mapbox_api
853 Henley Beach Road,853,Henley Beach Road,ADELAIDE,5000,"853 Henley Beach Road, Fulham South Australia 5024, Australia",CITY OF ADELAIDE,-34.926593,138.514486,4,Major Cities of Australia,mapbox_api
985 Marion Road,985,Marion Road,ADELAIDE,5000,"985 Marion Road, Ascot Park South Australia 5043, Australia",CITY OF ADELAIDE,-34.983789,138.556329,4,Major Cities of Australia,mapbox_api
249 Angas Street,249,Angas Street,ADELAIDE,5000,"249 Angas Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.930069,138.610141,4,Major Cities of Australia,mapbox_api
209 Elizabeth Street,209,Elizabeth Street,ADELAIDE,5000,"209 Elizabeth Street, Norwood South Australia 5067, Australia",CITY OF ADELAIDE,-34.927104,138.630194,4,Major Cities of Australia,mapbox_api
561 South Terrace,561,South Terrace,ADELAIDE,5000,"561 South Terrace, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.936053,138.592902,4,Major Cities of Australia,mapbox_api
273 Pulteney Street,273,Pulteney Street,ADELAIDE,5000,"273 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922055,138.605532,4,Major Cities of Australia,mapbox_api
384 Rundle Street,384,Rundle Street,ADELAIDE,5000,"384 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922473,138.609705,4,Major Cities of Australia,mapbox_api
742 Halifax Street,742,Halifax Street,ADELAIDE,5000,"742 Halifax Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932089,138.616601,4,Major Cities of Australia,mapbox_api
766 Lower North East Road,766,Lower North East Road,ADELAIDE,5000,"766 Lower North East Road, Dernancourt South Australia 5075, Australia",CITY OF ADELAIDE,-34.867101,138.678412,4,Major Cities of Australia,mapbox_api
135 Hindley Street,135,Hindley Street,ADELAIDE,5000,"135 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923476,138.594524,4,Major Cities of Australia,mapbox_api
737 Torrens Road,737,Torrens Road,ADELAIDE,5000,"737 Torrens Road, Renown Park South Australia 5008, Australia",CITY OF ADELAIDE,-34.895401,138.581797,4,Major Cities of Australia,mapbox_api
984 Henley Beach Road,984,Henley Beach Road,ADELAIDE,5000,"984 Henley Beach Road, Torrensville South Australia 5031, Australia",CITY OF ADELAIDE,-34.923687,138.56959,4,Major Cities of Australia,mapbox_api
433 Churchill Road,433,Churchill Road,ADELAIDE,5000,"433 Churchill Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.859684,138.583504,4,Major Cities of Australia,mapbox_api
290 Waymouth Street,290,Waymouth Street,ADELAIDE,5000,"290 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926281,138.589635,4,Major Cities of Australia,mapbox_api
776 East Terrace,776,West Terrace,ADELAIDE,5000,"776 East Terrace, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.931869,138.616884,4,Major Cities of Australia,mapbox_api
139 Portrush Road,139,Portrush Road,ADELAIDE,5000,"139 Portrush Road, Evandale South Australia 5069, Australia",CITY OF ADELAIDE,-34.907096,138.639584,4,Major Cities of Australia,mapbox_api
937 Marian Road,937,Marion Road,ADELAIDE,5000,"937 Marian Road, Payneham South South Australia 5070, Australia",CITY OF ADELAIDE,-34.901532,138.645728,4,Major Cities of Australia,mapbox_api
243 Marion Road,243,Marion Road,ADELAIDE,5000,"243 Marion Road, Marleston South Australia 5033, Australia",CITY OF ADELAIDE,-34.946649,138.553922,4,Major Cities of Australia,mapbox_api
199 Cross Road,199,Cross Road,ADELAIDE,5000,"199 Cross Road, Cumberland Park South Australia 5041, Australia",CITY OF ADELAIDE,-34.966702,138.588915,4,Major Cities of Australia,mapbox_api
267 Victoria Street,267,Victoria Street,ADELAIDE,5000,"267 Victoria Street, Glandore South Australia 5037, Australia",CITY OF ADELAIDE,-34.962583,138.567276,4,Major Cities of Australia,mapbox_api
892 Currie Street,892,Currie Street,ADELAIDE,5000,"892 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924843,138.58953,4,Major Cities of Australia,mapbox_api
Palmer Place,253,Palmer Place,ADELAIDE,5000,"Palmer Place, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.910956,138.595093,4,Major Cities of Australia,mapbox_api
479 High Street,479,High Street,ADELAIDE,5000,"479 High Street, Glenelg South Australia 5045, Australia",CITY OF ADELAIDE,-34.98135,138.519949,4,Major Cities of Australia,mapbox_api
269 Waymouth Street,269,Waymouth Street,ADELAIDE,5000,"269 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926175,138.591769,4,Major Cities of Australia,mapbox_api
735 Churchill Road,735,Churchill Road,ADELAIDE,5000,"735 Churchill Road, Prospect South Australia 5082, Australia",CITY OF ADELAIDE,-34.891243,138.585311,4,Major Cities of Australia,mapbox_api
102 Elizabeth Street,102,Elizabeth Street,ADELAIDE,5000,"102 Elizabeth Street, Banksia Park South Australia 5091, Australia",CITY OF ADELAIDE,-34.80891,138.725862,4,Major Cities of Australia,mapbox_api
634 Glen Osmond Road,634,Glen Osmond Road,ADELAIDE,5000,"634 Glen Osmond Road, Parkside South Australia 5063, Australia",CITY OF ADELAIDE,-34.945927,138.624413,4,Major Cities of Australia,mapbox_api
663 Main North Road,663,Main North Road,ADELAIDE,5000,"663 Main North Road, Elizabeth North South Australia 5113, Australia",CITY OF ADELAIDE,-34.698121,138.683571,4,Major Cities of Australia,mapbox_api
38 Henley Beach Road,38,Henley Beach Road,ADELAIDE,5000,"38 Henley Beach Road, Mile End South Australia 5031, Australia",CITY OF ADELAIDE,-34.923443,138.575099,4,Major Cities of Australia,mapbox_api
Church Street,715,Church Street,PORT AUGUSTA,5700,"Church Street, Port Augusta South Australia 5700, Australia",PORT AUGUSTA CITY COUNCIL,-32.493347,137.761689,2,Outer Regional Australia,mapbox_api
940 Lower North East Road,940,Lower North East Road,ADELAIDE,5000,"940 Lower North East Road, Highbury South Australia 5089, Australia",CITY OF ADELAIDE,-34.856311,138.693383,4,Major Cities of Australia,mapbox_api
178 Flinders Street,178,Flinders Street,ADELAIDE,5000,"178 Flinders Street, Kent Town South Australia 5067, Australia",CITY OF ADELAIDE,-34.922087,138.622666,4,Major Cities of Australia,mapbox_api
525 Uley Road,525,Unley Road,ADELAIDE,5000,"525 Uley Road, Craigmore South Australia 5114, Australia",CITY OF ADELAIDE,-34.698653,138.713807,4,Major Cities of Australia,mapbox_api
876 Gawler Place,876,Gawler Place,ADELAIDE,5000,"876 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925168,138.602026,4,Major Cities of Australia,mapbox_api
935 Wellington Square,935,Wellington Square,ADELAIDE,5000,"935 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.907057,138.590623,4,Major Cities of Australia,mapbox_api
762 Prospect Road,762,Prospect Road,ADELAIDE,5000,"762 Prospect Road, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.899825,138.594539,4,Major Cities of Australia,mapbox_api
69 Magill Road,69,Magill Road,ADELAIDE,5000,"69 Magill Road, Stepney South Australia 5069, Australia",CITY OF ADELAIDE,-34.915171,138.62838,4,Major Cities of Australia,mapbox_api
828 Victoria Street,828,Victoria Street,ADELAIDE,5000,"828 Victoria Street, Payneham South Australia 5070, Australia",CITY OF ADELAIDE,-34.899667,138.636375,4,Major Cities of Australia,mapbox_api
397 Glen Osmond Road,397,Glen Osmond Road,ADELAIDE,5000,"397 Glen Osmond Road, Glen Osmond South Australia 5064, Australia",CITY OF ADELAIDE,-34.962002,138.643219,4,Major Cities of Australia,mapbox_api
312 Goodwood Road,312,Goodwood Road,ADELAIDE,5000,"312 Goodwood Road, Cumberland Park South Australia 5041, Australia",CITY OF ADELAIDE,-34.970469,138.591079,4,Major Cities of Australia,mapbox_api
250 Flinders Street,250,Flinders Street,ADELAIDE,5000,"250 Flinders Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926168,138.609844,4,Major Cities of Australia,mapbox_api
820 Pulteney Street,820,Pulteney Street,ADELAIDE,5000,"820 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.935372,138.606516,4,Major Cities of Australia,mapbox_api
King Street,850,King Street,VICTOR HARBOR,5211,"King Street, Victor Harbor South Australia 5211, Australia",CITY OF VICTOR HARBOR,-35.556928,138.618675,3,Inner Regional Australia,mapbox_api
517 Portrush Road,517,Portrush Road,ADELAIDE,5000,"517 Portrush Road, Glenside South Australia 5065, Australia",CITY OF ADELAIDE,-34.940033,138.642459,4,Major Cities of Australia,mapbox_api
264 Grenfell Street,264,Grenfell Street,ADELAIDE,5000,"264 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923849,138.60941,4,Major Cities of Australia,mapbox_api
489 Church Street,489,Church Street,ADELAIDE,5000,"489 Church Street, Port Adelaide South Australia 5015, Australia",CITY OF ADELAIDE,-34.849226,138.503673,4,Major Cities of Australia,mapbox_api
295 Hindley Street,295,Hindley Street,ADELAIDE,5000,"295 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92348,138.589646,4,Major Cities of Australia,mapbox_api
423 Carrington Street,423,Carrington Street,ADELAIDE,5000,"423 Carrington Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.930936,138.616108,4,Major Cities of Australia,mapbox_api
296 Pirie Street,296,Pirie Street,ADELAIDE,5000,"296 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925624,138.602482,4,Major Cities of Australia,mapbox_api
Portrush Road,915,Portrush Road,ADELAIDE,5000,"Portrush Road, Glen Osmond South Australia 5064, Australia",CITY OF ADELAIDE,-34.956519,138.648198,4,Major Cities of Australia,mapbox_api
443 Halifax Street,443,Halifax Street,ADELAIDE,5000,"443 Halifax Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932131,138.615723,4,Major Cities of Australia,mapbox_api
653 Brighton Road,653,Brighton Road,ADELAIDE,5000,"653 Brighton Road, Somerton Park South Australia 5044, Australia",CITY OF ADELAIDE,-35.001591,138.521718,4,Major Cities of Australia,mapbox_api
704 George Street,704,George Street,ADELAIDE,5000,"704 George Street, Torrens Park South Australia 5062, Australia",CITY OF ADELAIDE,-34.985928,138.6126,4,Major Cities of Australia,mapbox_api
428 Goodwood Road,428,Goodwood Road,ADELAIDE,5000,"428 Goodwood Road, Cumberland Park South Australia 5041, Australia",CITY OF ADELAIDE,-34.972565,138.591024,4,Major Cities of Australia,mapbox_api
996 Henley Beach Road,996,Henley Beach Road,ADELAIDE,5000,"996 Henley Beach Road, Torrensville South Australia 5031, Australia",CITY OF ADELAIDE,-34.923687,138.56959,4,Major Cities of Australia,mapbox_api
21 Marion Road,21,Marion Road,ADELAIDE,5000,"21 Marion Road, Torrensville South Australia 5031, Australia",CITY OF ADELAIDE,-34.926712,138.552366,4,Major Cities of Australia,mapbox_api
826 Flinders Street,826,Flinders Street,ADELAIDE,5000,"826 Flinders Street, Kent Town South Australia 5067, Australia",CITY OF ADELAIDE,-34.921846,138.623065,4,Major Cities of Australia,mapbox_api
541 Carrington Street,541,Carrington Street,ADELAIDE,5000,"541 Carrington Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.930804,138.614228,4,Major Cities of Australia,mapbox_api
139 Angas Street,139,Angas Street,ADELAIDE,5000,"139 Angas Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92958,138.610896,4,Major Cities of Australia,mapbox_api
891 Hindley Street,891,Hindley Street,ADELAIDE,5000,"891 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923481,138.589634,4,Major Cities of Australia,mapbox_api
755 Port Road,755,Port Road,ADELAIDE,5000,"755 Port Road, Woodville South Australia 5011, Australia",CITY OF ADELAIDE,-34.882112,138.538013,4,Major Cities of Australia,mapbox_api
Peace Avenue,502,Palmer Place,VICTOR HARBOR,5211,"Peace Avenue, Victor Harbor South Australia 5211, Australia",CITY OF VICTOR HARBOR,-35.547579,138.623755,3,Inner Regional Australia,mapbox_api
264 Pirie Street,264,Pirie Street,ADELAIDE,5000,"264 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925624,138.60248,4,Major Cities of Australia,mapbox_api
Whitmore Square,709,Whitmore Square,ADELAIDE,5000,"Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932853,138.593504,4,Major Cities of Australia,mapbox_api
353 Glen Osmond Road,353,Glen Osmond Road,ADELAIDE,5000,"353 Glen Osmond Road, Glen Osmond South Australia 5064, Australia",CITY OF ADELAIDE,-34.95891,138.640621,4,Major Cities of Australia,mapbox_api
96 Wellington Square,96,Wellington Square,ADELAIDE,5000,"96 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.906149,138.591418,4,Major Cities of Australia,mapbox_api
423 Torrens Road,423,Torrens Road,ADELAIDE,5000,"423 Torrens Road, Kilkenny South Australia 5009, Australia",CITY OF ADELAIDE,-34.877504,138.551679,4,Major Cities of Australia,mapbox_api
464 Glen Osmond Road,464,Glen Osmond Road,ADELAIDE,5000,"464 Glen Osmond Road, Parkside South Australia 5063, Australia",CITY OF ADELAIDE,-34.945926,138.624412,4,Major Cities of Australia,mapbox_api
719 Pulteney Street,719,Pulteney Street,ADELAIDE,5000,"719 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.934637,138.606464,4,Major Cities of Australia,mapbox_api
16 Waymouth Street,16,Waymouth Street,ADELAIDE,5000,"16 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925596,138.598993,4,Major Cities of Australia,mapbox_api
526 Cross Road,526,Cross Road,ADELAIDE,5000,"526 Cross Road, Glandore South Australia 5037, Australia",CITY OF ADELAIDE,-34.967349,138.565135,4,Major Cities of Australia,mapbox_api
144 Light Square,144,Light Square,ADELAIDE,5000,"144 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925365,138.594286,4,Major Cities of Australia,mapbox_api
32 Unley Road,32,Unley Road,ADELAIDE,5000,"32 Unley Road, Unley South Australia 5061, Australia",CITY OF ADELAIDE,-34.942902,138.606451,4,Major Cities of Australia,mapbox_api
191 Whitmore Square,191,Whitmore Square,ADELAIDE,5000,"191 Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932359,138.594894,4,Major Cities of Australia,mapbox_api
142 Gawler Place,142,Gawler Place,ADELAIDE,5000,"142 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926425,138.602333,4,Major Cities of Australia,mapbox_api
250 Rundle Street,250,Rundle Street,ADELAIDE,5000,"250 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922591,138.607494,4,Major Cities of Australia,mapbox_api
803 Halifax Street,803,Halifax Street,ADELAIDE,5000,"803 Halifax Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932131,138.615724,4,Major Cities of Australia,mapbox_api
115 Grand Junction Road,115,Grand Junction Road,ADELAIDE,5000,"115 Grand Junction Road, Northfield South Australia 5085, Australia",CITY OF ADELAIDE,-34.84672,138.637032,4,Major Cities of Australia,mapbox_api
Palmer Place,314,Palmer Place,ADELAIDE,5000,"Palmer Place, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.910956,138.595093,4,Major Cities of Australia,mapbox_api
342 Elizabeth Street,342,Elizabeth Street,MURRAY BRIDGE,5253,"342 Elizabeth Street, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.118193,139.263281,2,Inner Regional Australia,mapbox_api
526 Pirie Street,526,Pirie Street,ADELAIDE,5000,"526 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925152,138.611749,4,Major Cities of Australia,mapbox_api
727 George Street,727,George Street,ADELAIDE,5000,"727 George Street, Marion South Australia 5043, Australia",CITY OF ADELAIDE,-35.009094,138.555052,4,Major Cities of Australia,mapbox_api
623 Churchill Road,623,Churchill Road,ADELAIDE,5000,"623 Churchill Road, Prospect South Australia 5082, Australia",CITY OF ADELAIDE,-34.891247,138.585311,4,Major Cities of Australia,mapbox_api
599 Pirie Street,599,Pirie Street,ADELAIDE,5000,"599 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925249,138.609835,4,Major Cities of Australia,mapbox_api
234 Victoria Street,234,Victoria Street,ADELAIDE,5000,"234 Victoria Street, Glandore South Australia 5037, Australia",CITY OF ADELAIDE,-34.962583,138.567281,4,Major Cities of Australia,mapbox_api
