Suburb,Postcode,Council,SocioEconomicStatus,Remoteness Level
BOWER,5374,THE REGIONAL COUNCIL OF GOYDER,0,Outer Regional Australia
PAISLEY,5357,THE DC OF LOXTON WAIKERIE,0,Not Applicable
GREENOCK,5360,LIGHT REGIONAL COUNCIL,0,Inner Regional Australia
NAIN,5360,LIGHT REGIONAL COUNCIL,0,Not Applicable
MORN HILL,5371,LIGHT REGIONAL COUNCIL,0,Not Applicable
ROSEWORTHY,5371,LIGHT REGIONAL COUNCIL,0,Inner Regional Australia
SHEA-OAK LOG,5371,LIGHT REGIONAL COUNCIL,0,Inner Regional Australia
TEMPLERS,5371,LIGHT REGIONAL COUNCIL,0,Not Applicable
FREELING,5372,LIGHT REGIONAL COUNCIL,0,Inner Regional Australia
ALLENDALE NORTH,5373,LIGHT REGIONAL COUNCIL,0,Not Applicable
BROWNLOW,5374,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
BAGOT WELL,5373,LIGHT REGIONAL COUNCIL,0,Not Applicable
BETHEL,5373,LIGHT REGIONAL COUNCIL,0,Not Applicable
POINT PASS,5374,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
FORDS,5373,LIGHT REGIONAL COUNCIL,0,Not Applicable
HAMILTON,5373,LIGHT REGIONAL COUNCIL,0,Inner Regional Australia
SUTHERLANDS,5374,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
BRADY CREEK,5381,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
BRIGHT,5381,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
KAPUNDA,5373,LIGHT REGIONAL COUNCIL,0,Inner Regional Australia
KOONUNGA,5373,LIGHT REGIONAL COUNCIL,0,Inner Regional Australia
ST JOHNS,5373,LIGHT REGIONAL COUNCIL,0,Not Applicable
BUCHANAN,5374,THE REGIONAL COUNCIL OF GOYDER,0,Inner Regional Australia
EUDUNDA,5374,THE REGIONAL COUNCIL OF GOYDER,0,Inner Regional Australia
FRANKTON,5374,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
HAMPDEN,5374,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
GILES CORNER,5411,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
LEIGHTON,5417,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
HANSBOROUGH,5374,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
JULIA,5374,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
MOUNT MARY,5374,MID MURRAY COUNCIL,0,Not Applicable
NEALES FLAT,5374,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
NGAPALA,5374,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
PEEP HILL,5374,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
DEVONBOROUGH DOWNS,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
EMU DOWNS,5381,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
GERANIUM PLAINS,5381,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
HALLELUJAH HILLS,5381,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
ROBERTSTOWN,5381,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
ROCKY PLAIN,5381,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
WORLDS END,5381,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
MAGDALA,5400,LIGHT REGIONAL COUNCIL,0,Not Applicable
TARLEE,5411,CLARE AND GILBERT VALLEYS COUNCIL,0,Inner Regional Australia
PINKERTON PLAINS,5400,LIGHT REGIONAL COUNCIL,0,Inner Regional Australia
WASLEYS,5400,LIGHT REGIONAL COUNCIL,0,Inner Regional Australia
WOOLSHEDS,5400,LIGHT REGIONAL COUNCIL,0,Not Applicable
ALMA,5401,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
HAMLEY BRIDGE,5401,WAKEFIELD REGIONAL COUNCIL,0,Inner Regional Australia
SALTER SPRINGS,5401,WAKEFIELD REGIONAL COUNCIL,0,Inner Regional Australia
LINWOOD,5410,LIGHT REGIONAL COUNCIL,0,Not Applicable
STOCKPORT,5410,CLARE AND GILBERT VALLEYS COUNCIL,0,Inner Regional Australia
ERUDINA,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
RIVERTON,5412,CLARE AND GILBERT VALLEYS COUNCIL,0,Inner Regional Australia
WOOLSHED FLAT,5412,CLARE AND GILBERT VALLEYS COUNCIL,0,Inner Regional Australia
APOINGA,5413,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
TOTHILL CREEK,5413,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
BLACK SPRINGS,5413,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
MARRABEL,5413,CLARE AND GILBERT VALLEYS COUNCIL,0,Inner Regional Australia
SADDLEWORTH,5413,CLARE AND GILBERT VALLEYS COUNCIL,0,Inner Regional Australia
STEELTON,5413,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
TARNMA,5413,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
TOTHILL BELT,5413,CLARE AND GILBERT VALLEYS COUNCIL,0,Outer Regional Australia
GUM CREEK,5417,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
WATERLOO,5413,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
MANOORA,5414,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
MINTARO,5415,CLARE AND GILBERT VALLEYS COUNCIL,0,Outer Regional Australia
STANLEY,5415,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
FARRELL FLAT,5416,THE REGIONAL COUNCIL OF GOYDER,0,Outer Regional Australia
PORTER LAGOON,5416,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
BALAH,5417,PASTORAL UNINCORPORATED AREA,0,Not Applicable
BALDINA,5417,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
HANSON,5417,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
BOOBOROWIE,5417,THE REGIONAL COUNCIL OF GOYDER,0,Outer Regional Australia
BUNYUNG,5417,PASTORAL UNINCORPORATED AREA,0,Not Applicable
BURRA,5417,THE REGIONAL COUNCIL OF GOYDER,0,Outer Regional Australia
BURRA EASTERN DISTRICTS,5417,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
CANEGRASS,5417,PASTORAL UNINCORPORATED AREA,0,Not Applicable
DANGGALI,5417,PASTORAL UNINCORPORATED AREA,0,Not Applicable
FARAWAY HILL,5417,PASTORAL UNINCORPORATED AREA,0,Not Applicable
GLUEPOT,5417,PASTORAL UNINCORPORATED AREA,0,Not Applicable
KOONOONA,5417,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
MONGOLATA,5417,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
NORTH BOOBOROWIE,5417,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
OAKVALE STATION,5417,PASTORAL UNINCORPORATED AREA,0,Not Applicable
OLD KOOMOOLOO,5417,PASTORAL UNINCORPORATED AREA,0,Not Applicable
PARCOOLA,5417,PASTORAL UNINCORPORATED AREA,0,Not Applicable
PINE VALLEY STATION,5417,PASTORAL UNINCORPORATED AREA,0,Not Applicable
QUONDONG,5417,PASTORAL UNINCORPORATED AREA,0,Not Applicable
STURT VALE,5417,PASTORAL UNINCORPORATED AREA,0,Not Applicable
WARNES,5417,PASTORAL UNINCORPORATED AREA,0,Not Applicable
COLLINSVILLE,5418,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
MOUNT BRYAN,5418,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
CANOWIE,5419,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
HALLETT,5419,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
MOUNT BRYAN EAST,5419,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
PINE CREEK,5419,THE REGIONAL COUNCIL OF GOYDER,0,Outer Regional Australia
ULOOLOO,5419,THE REGIONAL COUNCIL OF GOYDER,0,Outer Regional Australia
WILLALO,5419,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
WONNA,5419,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
CANOWIE BELT,5420,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
WHYTE YARCOWIE,5420,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
FRANKLYN,5421,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
TEROWIE,5421,THE REGIONAL COUNCIL OF GOYDER,0,Not Applicable
CAVENAGH,5422,THE DC OF PETERBOROUGH,0,Not Applicable
FLORINA STATION,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
DAWSON,5422,THE DC OF PETERBOROUGH,0,Not Applicable
ERSKINE,5422,THE DC OF ORROROO CARRIETON,0,Not Applicable
HARDY,5422,THE DC OF PETERBOROUGH,0,Not Applicable
MANNANARIE,5422,NORTHERN AREAS COUNCIL,0,Outer Regional Australia
MINVALARA,5422,THE DC OF PETERBOROUGH,0,Not Applicable
OODLA WIRRA,5422,THE DC OF PETERBOROUGH,0,Not Applicable
PARATOO,5422,THE DC OF PETERBOROUGH,0,Not Applicable
PARNAROO,5422,THE DC OF PETERBOROUGH,0,Not Applicable
PETERBOROUGH,5422,THE DC OF PETERBOROUGH,0,Outer Regional Australia
BARINIA,5453,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
SUNNYBRAE,5422,THE DC OF PETERBOROUGH,0,Not Applicable
UCOLTA,5422,THE DC OF PETERBOROUGH,0,Not Applicable
WAROONEE,5422,PASTORAL UNINCORPORATED AREA,0,Not Applicable
YATINA,5422,NORTHERN AREAS COUNCIL,0,Not Applicable
AMYTON,5431,THE DC OF MOUNT REMARKABLE,0,Not Applicable
BLACK ROCK,5431,THE DC OF ORROROO CARRIETON,0,Not Applicable
COOMOOROO,5431,THE DC OF ORROROO CARRIETON,0,Not Applicable
EURELIA,5431,THE DC OF ORROROO CARRIETON,0,Not Applicable
HAMMOND,5431,THE DC OF MOUNT REMARKABLE,0,Not Applicable
JOHNBURGH,5431,THE DC OF ORROROO CARRIETON,0,Not Applicable
MINBURRA,5431,THE DC OF ORROROO CARRIETON,0,Not Applicable
MINBURRA PLAIN,5431,PASTORAL UNINCORPORATED AREA,0,Not Applicable
MINBURRA STATION,5431,PASTORAL UNINCORPORATED AREA,0,Not Applicable
MORCHARD,5431,THE DC OF ORROROO CARRIETON,0,Not Applicable
NORTH HILLS,5431,PASTORAL UNINCORPORATED AREA,0,Not Applicable
ORROROO,5431,THE DC OF ORROROO CARRIETON,0,Outer Regional Australia
BIBLIANDO,5432,PASTORAL UNINCORPORATED AREA,0,Not Applicable
PEKINA,5431,THE DC OF ORROROO CARRIETON,0,Outer Regional Australia
TARCOWIE,5431,NORTHERN AREAS COUNCIL,0,Not Applicable
WALLOWAY,5431,THE DC OF ORROROO CARRIETON,0,Not Applicable
WILLOWIE,5431,THE DC OF MOUNT REMARKABLE,0,Not Applicable
YALPARA,5431,THE DC OF ORROROO CARRIETON,0,Not Applicable
BARATTA,5432,PASTORAL UNINCORPORATED AREA,0,Not Applicable
BELTON,5432,THE DC OF ORROROO CARRIETON,0,Not Applicable
BENBOURNIE,5453,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
CARRIETON,5432,THE DC OF ORROROO CARRIETON,0,Not Applicable
CRADOCK,5432,THE FLINDERS RANGES COUNCIL,0,Not Applicable
HOLOWILIENA,5432,PASTORAL UNINCORPORATED AREA,0,Not Applicable
HOLOWILIENA SOUTH,5432,PASTORAL UNINCORPORATED AREA,0,Not Applicable
MOOCKRA,5432,THE DC OF MOUNT REMARKABLE,0,Not Applicable
THREE CREEKS,5432,PASTORAL UNINCORPORATED AREA,0,Not Applicable
WILCOWIE,5432,PASTORAL UNINCORPORATED AREA,0,Not Applicable
BOCONNOC PARK,5453,CLARE AND GILBERT VALLEYS COUNCIL,0,Outer Regional Australia
WILLIPPA,5432,PASTORAL UNINCORPORATED AREA,0,Not Applicable
WITCHITIE,5432,PASTORAL UNINCORPORATED AREA,0,Not Applicable
YANYARRIE,5432,THE DC OF ORROROO CARRIETON,0,Not Applicable
BRUCE,5433,THE DC OF MOUNT REMARKABLE,0,Not Applicable
QUORN,5433,THE FLINDERS RANGES COUNCIL,0,Outer Regional Australia
SALTIA,5433,THE FLINDERS RANGES COUNCIL,0,Outer Regional Australia
STEPHENSTON,5433,THE FLINDERS RANGES COUNCIL,0,Not Applicable
WILLOCHRA,5433,THE FLINDERS RANGES COUNCIL,0,Not Applicable
YARRAH,5433,PASTORAL UNINCORPORATED AREA,0,Remote Australia
BARNDIOOTA,5434,THE FLINDERS RANGES COUNCIL,0,Not Applicable
BLACK HILL STATION,5434,PASTORAL UNINCORPORATED AREA,0,Not Applicable
MOUNT HAVELOCK,5434,PASTORAL UNINCORPORATED AREA,0,Not Applicable
PRELINNA,5434,PASTORAL UNINCORPORATED AREA,0,Not Applicable
SHAGGY RIDGE,5434,THE FLINDERS RANGES COUNCIL,0,Not Applicable
KOONAMORE,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
LAKE FROME,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
FLINDERS RANGES,5434,PASTORAL UNINCORPORATED AREA,0,Remote Australia
HAWKER,5434,THE FLINDERS RANGES COUNCIL,0,Outer Regional Australia
KANYAKA,5434,THE FLINDERS RANGES COUNCIL,0,Not Applicable
UPALINNA,5434,PASTORAL UNINCORPORATED AREA,0,Not Applicable
WILLOW SPRINGS,5434,PASTORAL UNINCORPORATED AREA,0,Not Applicable
WORUMBA,5434,PASTORAL UNINCORPORATED AREA,0,Not Applicable
ABMINGA STATION,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
BENDA,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
BILLEROO WEST,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
BIMBOWRIE,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
BINDARRAH,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
MANNA HILL,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
FROME DOWNS,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
GRAMPUS,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
KALABITY,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
KALKAROO,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
MANUNDA STATION,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
ERITH,5461,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
MARTINS WELL,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
MELTON STATION,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
MINGARY,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
MOOLEULOOLOO,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
MOUNT VICTOR STATION,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
MULYUNGARIE,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
MUNDI MUNDI,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
MUTOOROO,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
NACKARA,5440,THE DC OF PETERBOROUGH,0,Not Applicable
NETLEY GAP,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
OLARY,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
WOMPINIE,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
OULNINA,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
OULNINA PARK,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
OUTALPA,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
PINE CREEK STATION,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
PLUMBAGO,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
PUALCO RANGE,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
QUINYAMBIE,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
TEPCO STATION,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
TIKALINA,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
WADNAMINGA,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
WAUKARINGA,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
WEEKEROO,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
WIAWERA,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
WINNININNIE,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
YUNTA,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
AUBURN,5451,CLARE AND GILBERT VALLEYS COUNCIL,0,Inner Regional Australia
UNDALYA,5451,CLARE AND GILBERT VALLEYS COUNCIL,0,Inner Regional Australia
LEASINGHAM,5452,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
WATERVALE,5452,CLARE AND GILBERT VALLEYS COUNCIL,0,Inner Regional Australia
ARMAGH,5453,CLARE AND GILBERT VALLEYS COUNCIL,0,Outer Regional Australia
CLARE,5453,CLARE AND GILBERT VALLEYS COUNCIL,0,Inner Regional Australia
EMU FLAT,5453,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
GILLENTOWN,5453,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
HILL RIVER,5453,CLARE AND GILBERT VALLEYS COUNCIL,0,Outer Regional Australia
HOYLETON,5453,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
KYBUNGA,5453,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
PENWORTHAM,5453,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
POLISH HILL RIVER,5453,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
SEVENHILL,5453,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
SPRING FARM,5453,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
SPRING GULLY,5453,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
STANLEY FLAT,5453,CLARE AND GILBERT VALLEYS COUNCIL,0,Outer Regional Australia
ANDREWS,5454,NORTHERN AREAS COUNCIL,0,Not Applicable
BROUGHTON RIVER VALLEY,5454,NORTHERN AREAS COUNCIL,0,Not Applicable
EUROMINA,5454,NORTHERN AREAS COUNCIL,0,Not Applicable
HACKLINS CORNER,5454,NORTHERN AREAS COUNCIL,0,Not Applicable
MAYFIELD,5454,NORTHERN AREAS COUNCIL,0,Not Applicable
EVERARD CENTRAL,5461,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
SPALDING,5454,NORTHERN AREAS COUNCIL,0,Outer Regional Australia
WASHPOOL,5454,NORTHERN AREAS COUNCIL,0,Outer Regional Australia
HILLTOWN,5455,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
GOYDER,5461,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
BLYTH,5462,WAKEFIELD REGIONAL COUNCIL,0,Outer Regional Australia
ANAMA,5464,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
BRINKWORTH,5464,WAKEFIELD REGIONAL COUNCIL,0,Outer Regional Australia
BARABBA,5460,ADELAIDE PLAINS COUNCIL,0,Inner Regional Australia
OWEN,5460,WAKEFIELD REGIONAL COUNCIL,0,Inner Regional Australia
PINERY,5460,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
STOCKYARD CREEK,5460,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
BALAKLAVA,5461,WAKEFIELD REGIONAL COUNCIL,0,Inner Regional Australia
BOWILLIA,5461,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
DALKEY,5461,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
HALBURY,5461,WAKEFIELD REGIONAL COUNCIL,0,Inner Regional Australia
HOSKIN CORNER,5461,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
MOUNT TEMPLETON,5461,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
SAINTS,5461,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
STOW,5461,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
WATCHMAN,5461,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
WHITWARTA,5461,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
BUNGAREE,5464,CLARE AND GILBERT VALLEYS COUNCIL,0,Not Applicable
CONDOWIE,5464,WAKEFIELD REGIONAL COUNCIL,0,Outer Regional Australia
HART,5464,WAKEFIELD REGIONAL COUNCIL,0,Outer Regional Australia
KOOLUNGA,5464,PORT PIRIE REGIONAL COUNCIL,0,Not Applicable
MAROLA,5464,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
ROCHESTER,5464,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
YACKA,5470,NORTHERN AREAS COUNCIL,0,Outer Regional Australia
GULNARE,5471,NORTHERN AREAS COUNCIL,0,Not Applicable
GEORGETOWN,5472,NORTHERN AREAS COUNCIL,0,Not Applicable
GLADSTONE,5473,NORTHERN AREAS COUNCIL,0,Outer Regional Australia
APPILA,5480,THE DC OF MOUNT REMARKABLE,0,Not Applicable
LAURA,5480,NORTHERN AREAS COUNCIL,0,Outer Regional Australia
STONE HUT,5480,NORTHERN AREAS COUNCIL,0,Not Applicable
BANGOR,5481,THE DC OF MOUNT REMARKABLE,0,Not Applicable
MURRAY TOWN,5481,THE DC OF MOUNT REMARKABLE,0,Not Applicable
WIRRABARA,5481,THE DC OF MOUNT REMARKABLE,0,Outer Regional Australia
WONGYARRA,5481,THE DC OF MOUNT REMARKABLE,0,Not Applicable
BOOLEROO CENTRE,5482,THE DC OF MOUNT REMARKABLE,0,Outer Regional Australia
COLLINSFIELD,5555,PORT PIRIE REGIONAL COUNCIL,0,Not Applicable
MELROSE,5483,THE DC OF MOUNT REMARKABLE,0,Outer Regional Australia
WILMINGTON,5485,THE DC OF MOUNT REMARKABLE,0,Outer Regional Australia
CALTOWIE,5490,NORTHERN AREAS COUNCIL,0,Outer Regional Australia
CALTOWIE NORTH,5490,NORTHERN AREAS COUNCIL,0,Not Applicable
CALTOWIE WEST,5490,NORTHERN AREAS COUNCIL,0,Not Applicable
BELALIE EAST,5491,NORTHERN AREAS COUNCIL,0,Not Applicable
BELALIE NORTH,5491,NORTHERN AREAS COUNCIL,0,Not Applicable
BUNDALEER GARDENS,5491,NORTHERN AREAS COUNCIL,0,Outer Regional Australia
BUNDALEER NORTH,5491,NORTHERN AREAS COUNCIL,0,Not Applicable
HORNSDALE,5491,NORTHERN AREAS COUNCIL,0,Not Applicable
JAMESTOWN,5491,NORTHERN AREAS COUNCIL,0,Outer Regional Australia
WEST BUNDALEER,5491,NORTHERN AREAS COUNCIL,0,Not Applicable
YONGALA,5493,THE DC OF PETERBOROUGH,0,Outer Regional Australia
BAROOTA,5495,THE DC OF MOUNT REMARKABLE,0,Not Applicable
GERMEIN BAY,5495,PORT PIRIE REGIONAL COUNCIL,0,Outer Regional Australia
MAMBRAY CREEK,5495,THE DC OF MOUNT REMARKABLE,0,Not Applicable
NECTAR BROOK,5495,THE DC OF MOUNT REMARKABLE,0,Not Applicable
PORT GERMEIN,5495,THE DC OF MOUNT REMARKABLE,0,Outer Regional Australia
WEEROONA ISLAND,5495,THE DC OF MOUNT REMARKABLE,0,Not Applicable
AVON,5501,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
CALOMBA,5501,ADELAIDE PLAINS COUNCIL,0,Not Applicable
WEBB BEACH,5501,ADELAIDE PLAINS COUNCIL,0,Inner Regional Australia
WILD HORSE PLAINS,5501,ADELAIDE PLAINS COUNCIL,0,Not Applicable
WINDSOR,5501,ADELAIDE PLAINS COUNCIL,0,Inner Regional Australia
DUBLIN,5501,ADELAIDE PLAINS COUNCIL,0,Inner Regional Australia
TWO WELLS,5501,ADELAIDE PLAINS COUNCIL,0,Inner Regional Australia
FISCHER,5502,ADELAIDE PLAINS COUNCIL,0,Inner Regional Australia
LEWISTON,5501,ADELAIDE PLAINS COUNCIL,0,Inner Regional Australia
LONG PLAINS,5501,ADELAIDE PLAINS COUNCIL,0,Not Applicable
LOWER LIGHT,5501,ADELAIDE PLAINS COUNCIL,0,Inner Regional Australia
PARHAM,5501,ADELAIDE PLAINS COUNCIL,0,Not Applicable
PORT GAWLER,5501,ADELAIDE PLAINS COUNCIL,0,Not Applicable
GRACE PLAINS,5502,ADELAIDE PLAINS COUNCIL,0,Not Applicable
AGERY,5558,YORKE PENINSULA COUNCIL,0,Not Applicable
MIDDLE BEACH,5501,ADELAIDE PLAINS COUNCIL,0,Not Applicable
THOMPSON BEACH,5501,ADELAIDE PLAINS COUNCIL,0,Inner Regional Australia
BUNGAMA,5540,PORT PIRIE REGIONAL COUNCIL,0,Not Applicable
KORUNYE,5502,ADELAIDE PLAINS COUNCIL,0,Inner Regional Australia
MALLALA,5502,ADELAIDE PLAINS COUNCIL,0,Inner Regional Australia
REDBANKS,5502,ADELAIDE PLAINS COUNCIL,0,Not Applicable
REEVES PLAINS,5502,ADELAIDE PLAINS COUNCIL,0,Not Applicable
LOCHIEL,5510,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
BARUNGA GAP,5520,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
BUMBUNGA,5520,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
BURNSFIELD,5520,WAKEFIELD REGIONAL COUNCIL,0,Not Applicable
SNOWTOWN,5520,WAKEFIELD REGIONAL COUNCIL,0,Outer Regional Australia
WOKURNA,5520,BARUNGA WEST COUNCIL,0,Not Applicable
REDHILL,5521,PORT PIRIE REGIONAL COUNCIL,0,Outer Regional Australia
FISHERMAN BAY,5522,BARUNGA WEST COUNCIL,0,Outer Regional Australia
PORT BROUGHTON,5522,BARUNGA WEST COUNCIL,0,Outer Regional Australia
WARD HILL,5522,BARUNGA WEST COUNCIL,0,Outer Regional Australia
BEETALOO VALLEY,5523,NORTHERN AREAS COUNCIL,0,Not Applicable
CLEMENTS GAP,5523,BARUNGA WEST COUNCIL,0,Not Applicable
CRYSTAL BROOK,5523,PORT PIRIE REGIONAL COUNCIL,0,Outer Regional Australia
HUDDLESTON,5523,NORTHERN AREAS COUNCIL,0,Not Applicable
MERRITON,5523,PORT PIRIE REGIONAL COUNCIL,0,Not Applicable
NARRIDY,5523,NORTHERN AREAS COUNCIL,0,Outer Regional Australia
NUROM,5523,PORT PIRIE REGIONAL COUNCIL,0,Not Applicable
WANDEARAH EAST,5523,PORT PIRIE REGIONAL COUNCIL,0,Outer Regional Australia
WANDEARAH WEST,5523,PORT PIRIE REGIONAL COUNCIL,0,Not Applicable
LOWER BROUGHTON,5540,PORT PIRIE REGIONAL COUNCIL,0,Not Applicable
NAPPERBY,5540,PORT PIRIE REGIONAL COUNCIL,0,Outer Regional Australia
NELSHABY,5540,PORT PIRIE REGIONAL COUNCIL,0,Outer Regional Australia
PIRIE EAST,5540,PORT PIRIE REGIONAL COUNCIL,0,Not Applicable
PORT PIRIE,5540,PORT PIRIE REGIONAL COUNCIL,0,Outer Regional Australia
PORT PIRIE SOUTH,5540,PORT PIRIE REGIONAL COUNCIL,0,Outer Regional Australia
PORT PIRIE WEST,5540,PORT PIRIE REGIONAL COUNCIL,0,Outer Regional Australia
RISDON PARK,5540,PORT PIRIE REGIONAL COUNCIL,0,Outer Regional Australia
